Feature,Model,R_squared,MSE
Country_Name,CurveFitting,0.006623392455897825,150770006255.81458
Country_Region,CurveFitting,0.015784287989014545,149379608831.16458
Bldg_Type,CurveFitting,0.005365888371119398,150960864282.15515
Bldg_Use,CurveFitting,0.021619754280664205,148493929339.00024
Construction_Type,CurveFitting,0.011739584745302123,149993494772.03152
Total_Bldg_Users,CurveFitting,-0.02240475791088148,349.38270528426943
Exact_Area_SqMeters,CurveFitting,0.0044268594016360074,139384228025.4089
Exact_Storeys,CurveFitting,-0.002534607515486398,100585979062.28055
Underground_Storeys,CurveFitting,0.4650011239279995,68086.01543540634
Mass_Wood,CurveFitting,0.009255134545631316,1900.561566627195
Mass_Straw_Hemp,CurveFitting,-0.007472344138701903,1932.6501539139322
Mass_Fungi,CurveFitting,-0.00805669127835218,1933.7711162867008
Mass_Brass_Copper,CurveFitting,-0.00805669127835218,1933.7711162867008
Mass_Earth,CurveFitting,-0.0020919864053166037,1922.3289284609114
Mass_Bamboo,CurveFitting,-0.00805669127835218,1933.7711162867008
Mass_Glass,CurveFitting,-0.005603829437422547,1929.065752569293
Mass_Stone,CurveFitting,-0.0715646568932169,2055.5994525526057
Mass_Stone_Wool,CurveFitting,0.009039480530148691,1900.975259140582
Mass_Ceramics,CurveFitting,-0.016215920462630207,1949.4230948551995
Mass_Metals,CurveFitting,-0.00784299784766973,1933.3611847941875
Mass_Plastics,CurveFitting,-0.020567081360381767,1957.769995718203
Mass_Steel_Reinforcement,CurveFitting,-0.04073326293836366,1996.4551012273398
Mass_EPS_XPS,CurveFitting,-0.07847545931734934,2068.8565542947745
Mass_Aluminium,CurveFitting,-0.004132440812076421,1926.243164465722
Mass_Concrete_Without_Reinforcement,CurveFitting,-0.04351191396597964,2001.7854315013547
Mass_Other,CurveFitting,0.01645172960750907,1886.7562243417105
Mass_Reinforced_Concrete,CurveFitting,0.012868415658393806,1893.6301522421334
Mass_Cement_Mortar,CurveFitting,-0.01006525783050427,1937.6241813149838
Total_Materials_Mass,CurveFitting,-0.00805669127835218,1933.7711162867008
Primary_Horizontal_Element_Type,CurveFitting,0.0017517864326019872,151509395592.1752
Primary_Vertical_Element_Type,CurveFitting,0.001822300109897368,151498693359.5212
Primary_Finishes_Type,CurveFitting,0.00023891830659783508,151739011565.7039
Primary_Cladding_Type,CurveFitting,0.000857332611327033,151645151565.49387
Primary_Foundation_Type,CurveFitting,0.001695713847494007,151517906024.11337
Primary_Ground_Floor_Type,CurveFitting,0.0017142643369525423,151515090518.50305
Primary_Heating_Type,CurveFitting,0.000382630872292955,151717199551.74628
Primary_Cooling_Type,CurveFitting,0.0005153205581280851,151697060538.39374
Primary_Ventilation_Type,CurveFitting,0.0005200926628378122,151696336250.89645
